05/15/26-12:19:32.716914 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,46328,Misc activity,3,alert,Allow
05/15/26-12:19:33.749271 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,46367,Misc activity,3,alert,Allow
05/15/26-12:19:34.770038 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,46578,Misc activity,3,alert,Allow
05/15/26-12:19:35.792559 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,46723,Misc activity,3,alert,Allow
05/15/26-12:19:36.817094 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,46843,Misc activity,3,alert,Allow
05/15/26-12:19:37.840036 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,47020,Misc activity,3,alert,Allow
05/15/26-12:19:38.864326 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,47253,Misc activity,3,alert,Allow
05/15/26-12:19:39.887579 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,47471,Misc activity,3,alert,Allow
05/15/26-12:19:40.909963 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,47488,Misc activity,3,alert,Allow
05/15/26-12:23:55.246066 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,24858,Misc activity,3,alert,Allow
05/15/26-12:23:56.245358 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,24877,Misc activity,3,alert,Allow
05/15/26-12:23:57.270071 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,25008,Misc activity,3,alert,Allow
05/15/26-12:23:58.293139 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,25048,Misc activity,3,alert,Allow
05/15/26-12:23:59.315392 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,25097,Misc activity,3,alert,Allow
05/15/26-12:24:00.340960 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,25239,Misc activity,3,alert,Allow
05/15/26-12:24:34.230107 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.1,,192.168.100.10,,31310,Misc activity,3,alert,Allow
05/15/26-12:24:34.230510 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.10,,192.168.100.1,,19728,Misc activity,3,alert,Allow
05/15/26-12:24:35.257369 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.1,,192.168.100.10,,851,Misc activity,3,alert,Allow
05/15/26-12:24:35.258087 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.10,,192.168.100.1,,19846,Misc activity,3,alert,Allow
05/15/26-12:24:36.286839 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.1,,192.168.100.10,,21097,Misc activity,3,alert,Allow
05/15/26-12:24:36.288111 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.10,,192.168.100.1,,19963,Misc activity,3,alert,Allow
05/15/26-12:24:44.885683 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,29700,Misc activity,3,alert,Allow
05/15/26-12:24:45.898417 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,29896,Misc activity,3,alert,Allow
05/15/26-12:24:46.916566 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,30050,Misc activity,3,alert,Allow
05/15/26-12:24:47.933515 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,192.168.100.1,,30195,Misc activity,3,alert,Allow
05/15/26-12:25:51.757028 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,63082,Misc activity,3,alert,Allow
05/15/26-12:25:52.765705 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,63327,Misc activity,3,alert,Allow
05/15/26-12:25:53.789829 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,63487,Misc activity,3,alert,Allow
05/15/26-12:25:54.814971 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,63524,Misc activity,3,alert,Allow
05/15/26-12:25:55.840276 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,63760,Misc activity,3,alert,Allow
05/15/26-12:35:52.441622 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,23435,Misc activity,3,alert,Allow
05/15/26-12:35:53.459465 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,23539,Misc activity,3,alert,Allow
05/15/26-12:35:54.485031 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,23706,Misc activity,3,alert,Allow
05/15/26-12:35:55.508983 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,23826,Misc activity,3,alert,Allow
05/15/26-12:35:56.531778 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24077,Misc activity,3,alert,Allow
05/15/26-12:35:57.556861 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24105,Misc activity,3,alert,Allow
05/15/26-12:36:10.450561 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24384,Misc activity,3,alert,Allow
05/15/26-12:36:11.476086 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24469,Misc activity,3,alert,Allow
05/15/26-12:36:12.500155 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24504,Misc activity,3,alert,Allow
05/15/26-12:36:13.525283 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24591,Misc activity,3,alert,Allow
05/15/26-12:36:14.548539 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24609,Misc activity,3,alert,Allow
05/15/26-12:36:15.575750 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24630,Misc activity,3,alert,Allow
